Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,18478095142.1781,19366314294.0882,20506467177.8699,22242734491.041,24294329779.9037,26619560806.5041,28732792825.1557,31592963095.0751,34216506003.7724,38498685902.3199,41938907715.5921,45920167032.339,49440744172.3381,64933825429.4262,79888146173.0089,84955085378.7871,85050300129.2175,94566922081.6133,105623414443.521,125656371097.882,166475050971.984,173673510912.351,164114068718.601,175108664048.273,162752141155.352,135795509169.566,153368683414.31,186594742538.673,205635932770.809,218577418670.295,254673510115.591,275622021261.09,240210577721.912,238353057845.691,241158029890.41,270813961389.262,268992901985.369,284065411886.655,267286689939.3,263674195227.713,285403765401.254,260218617002.669,267142068310.105,354907412306.554,441359590323.394,514927086452.789,578633287253.354,664099392606.403,711800460143.432,723512528253.909,867040920627.224,971667511047.106,979996860991.406,986342932619.106,1006992481353.94,932513471557.123,890051427265.996,1028394291260.59,1012521425296.35,1006191000190.48,928880235176.594,1086530704900.5,1185137703650.99
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10411646287.3058,11135924727.9409,11951712282.0428,12685805889.8937,13848998668.6184,14874755833.5382,15845575303.2224,14428492961.8549,14880501861.1181,16882284662.3657,23504960311.9234,20843326170.6302,25269456358.5288,31841146881.8575,44215328355.8688,51445309626.4799,62129985410.0664,65316034540.7121,71200526845.3747,88629333635.7157,112032331232.328,211005911802.917,187165406370.026,138116898441.305,114263904328.182,116508527443.662,107507001440.375,110281682790.499,108944735237.174,101770140749.657,121803568895.987,127939039832.689,122575953686.486,127980941949.696,133143476720.137,205687093879.591,261262106172.312,274376968923.496,294949797405.741,137292485423.693,140132777859.081,147524718751.249,176588559103.843,204455023741.489,253453654650.339,310070743908.926,396077046021.055,465627259599.126,567853448132.047,508492534468.294,598607469639.526,682176065823.115,737739503299.735,834097010134.991,894505003403.491,769263195356.949,692114931613.254,685630289666.515,768158194632.397,823405580187.913,786962436538.391,844927536437.833,875393693658.084
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073603.67893,5553824463.8796,5553824463.8796,5787823808.69565,6135166254.1806,7558613008.02675,7076793822.74247,8089279284.61538,8775116269.23077,10207922517.0569,11236275842.8094,10401188707.2808,8307826847.39834,6084688935.80032,4438321017.39068,5538749259.94714,6535434716.00224,7675412600.66513,6506381416.53236,6152922942.24539,9129594815.57661,8936079251.42093,15285592486.2532,17812704627.0282,23552057820.4599,36970901023.7893,52381025102.321,65266415706.9741,88538664884.265,70307196474.1272,83799473759.7201,111789747670.59,128052915202.989,132339108708.408,135966802156.542,90496420626.179,52761617225.9253,73690155046.555,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243,106782770714.619
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994962.962963,165444571.428571,178297142.857143,183200000,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.623188,547535555.555556,610225555.555556,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.46477,987143931.166987,1149979285.77347,1201725497.06578,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770740.207416,808077223.365746,870486065.883137,876794723.068586,825394519.423728,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,1611835857.04588,1781455139.85931,2032135192.01248,2235820809.32006,2333341334.45753,2451606632.29246,2705783329.80483,3104003546.26497,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353,2649680261.43998,2775798697.47186,3338722827.66241
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.434497,235668220.508202,236434954.038578,253927697.25805,269819005.87814,289908680.426395,302925235.151997,306221953.104911,326323105.26476,330748244.539574,333627713.494438,335073027.54117,410331856.991218,504376074.185709,554654860.702577,676870140.341529,698408261.922237,750049778.84069,928843469.431727,1186231019.82044,1405251846.54048,1291120188.43104,1267778670.35902,1095348199.43911,1051134008.78979,1045712789.14884,1336102025.27763,1562412227.90058,1620246083.79478,1502294416.17129,1959965330.14765,1986437796.53053,1695315305.70308,2274558082.76135,1598075943.86774,2169627137.9207,2361116449.39308,2268301646.46707,2455092686.34712,3677393998.74486,3519991440.47913,3666222635.13875,4194342686.2178,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,9787734526.23965,9738626517.00319,9535345015.78355,10693321363.6574,11141358115.8991,12517845123.9315,13284527846.9081,11388160997.1089,11821065852.1271,12701655845.9612,14262408079.7014,14390708756.988,15686741893.5187,17687623534.6665,17396792699.5489
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.821186,350247234.260712,379567099.249422,394040667.106335,410321644.964911,422916789.7483,433889766.239436,450753923.548048,460442689.376378,478298645.39382,458404268.761971,482411179.121178,578595521.990135,674773569.877548,751133430.449301,939972703.463021,976547188.054778,1131224878.18865,1475583644.93614,1748480620.52397,1928719888.20688,1775842333.57042,1754450096.23721,1600278605.25465,1459880132.14107,1552493196.28424,2036303357.68113,2369834949.73234,2616040478.99309,2615587733.97303,3101300778.56414,3135045584.08387,3356692505.18266,3199536465.23328,1895290637.09504,2379517975.28056,2586550595.41013,2447669101.95178,2804902367.14687,3389566712.66037,2968370087.59759,3190371080.94768,3622350062.96053,4740768142.67494,5451688537.60959,6146353173.34929,6547419820.38113,7625722836.76847,9451435490.11467,9450696873.34326,10109619740.6994,12080295977.5632,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813501.6639,17725010530.7894,19642668879.7694,18820064797.8379
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411413.6552828,32902612.8664855,35644956.6430429,38091842.8546863,41616347.7906865,45788696.3343915,51465655.3921083,58642354.089673,66248441.4182466,77361546.5067537,96243233.6609837,127448613.505061,164460914.977201,244124164.042218,306044207.530203,355168571.536751,372025093.006273,451624780.274597,590407374.447116,819870258.783053,1060889703.75374,1073812830.30052,1014945695.71927,1172230396.58099,1240822167.43571,1114783342.71539,1392602163.53829,1965226890.04557,2644554158.72794,3083822112.02023,3790636324.44775,3942876703.45184,4146464586.61674,4160129174.70569,4259259604.15623,4730599121.92704,4847757217.75815,5020265626.66489,4790481509.17679,5484263346.88105,5788329609.15755,5489608299.66445,5438863982.88692,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730829116.4105,10118459242.3183,12637273429.1339,15110643612.1729,13907464500.1489,14271738933.2042,15470088500.7414,13530748844.505,15082636722.902,16105156375.533,17031943186.1353,16725908666.8462,14960291541.176,18737066311.1597,20355541962.8512
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.492157,123134583.463559,124482773.83306,129379123.76305,142025078.735754,150574795.409863,157930018.091087,163820513.562432,191767441.604577,188039210.130379,189106529.207011,201450799.82635,230317883.36443,271183082.043062,281398705.570596,378660016.265936,451152461.31276,507298147.526539,610578631.992983,700764747.756462,797048198.534875,694803622.898966,748312390.756606,658679332.681331,637820670.299604,864849836.286193,1122265013.42004,1200991977.80801,1264899287.51261,1233930280.91724,1440711459.16967,1377374986.58709,1411917553.12436,1278781261.55928,851174356.781737,1115389673.69197,1007791127.09913,937741513.015352,967338389.650578,999477510.686632,916777282.691659,932648604.751954,996068144.884889,1142315522.53864,1272360517.32373,1337894378.73743,1461859762.33459,1699811294.94935,1993407888.49838,2067381665.25454,2142591540.40068,2437982705.12093,2510126512.22831,1691544110.18543,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255342985523.694,242589999851.319,260007192125.902,274155699209.854,310993103188.365,393418186744.059,416195415174.039,410169356182.417,448894516201.305,435065154081.647,428597869265.835,468614929760.097,528073644706.221,634392755114.964,763090521706.343,886071992246.426,1001637168216.98,1265564800459.09,1530711739102.62,1289846065408.44,1316531033893.12,1454696041345.17,1358996129796.77,1417459171481.04,1463675951157.07,1293469512790.95,1316594480887.55,1461306924995.73,1648634467771.53,1674210532695.96,1665327992740.77,1908002281033.51,1944160092868.98
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203558.456965,618245635.134801,645284474.559229,761047198.973677,921063326.292797,919771228.036518,1024102881.90257,1082922725.79069,1281281277.98148,1361360291.5873,1455482795.26555,1584128511.27902,1849400398.25228,2508421425.57669,3070152313.83854,3893839184.06847,4662053819.62908,6265068200.43055,7900526290.12877,9142933955.51749,10175617589.1232,8432589956.34896,7567110855.85391,6838184772.07869,6841639250.21886,6977650648.47401,9158302111.36131,10087654451.341,10255169812.0186,9757410629.74456,10795850584.5874,10492628587.8153,11152971284.4722,11045760268.6163,8313557515.23869,11000146268.7173,18071152821.0721,18047558026.8813,19619654769.9792,18870992455.568,16577533891.1783,16810537037.873,18054383333.8602,21251754334.2005,23510575668.4394,24036918719.1307,25281413268.2105,28760090924.4659,34078240260.4002,33886813225.705,34936307964.5293,36693710823.1998,36302302845.3012,42760235497.5958,48843005625.5796,45815005170.815,48407761031.9226,52512344033.7688,58522477744.5444,59898479821.2323,62982768371.6208,71811075955.078,70018715016.8293
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,614206068.497266,652777608.320492,694247864.3789,718320845.044338,776650176.904453,814083265.511426,851112534.552636,936175260.030919,1046191217.79942,1100551488.62689,1151216992.88095,1236941394.11447,1498251889.66287,1901393361.02282,2157415532.54796,2857037371.05886,2898090001.8562,3394664024.05503,4662852583.13256,5919002982.602,6674569046.6832,6610938616.6643,6611255963.83584,6870200009.90065,7311938026.36713,8544810497.9889,11857056199.0765,13049659981.1373,12236057362.4917,11012566195.0255,12314482627.8454,11840192296.3893,12071775335.0433,16181814712.5295,8902446252.18372,10864772470.9043,11093538846.4483,10789458432.6416,11298144990.4104,11565826464.8921,10566579294.9831,10953485349.1135,12417251332.5885,15970315034.9903,18826214135.6419,19509852206.9341,20910512974.933,23928250433.0378,27715142032.913,27932970317.129,27507501821.0296,30630910495.217,30155062329.2821,33728621180.3231,36386544706.0806,32210233020.4569,33814337044.3765,36098547033.1655,39973842087.2242,39670976452.5283,40773241177.0505,44993521774.066,43644068310.851
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,9461033354,5979350228,8042983396.5,7175016484.75,9207333740.83333,8822051647.69231,9329305477.5,,8850000000,10768000000,5820475672.05427,5643416613.28208,5771456952.1908,6090838693.27145,6217805820.77104,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484465.9388,14451901696.3878,16737071816.38,19788515590.1284,18648372553.0921,21565721044.8462,25839749199.3671,29306235285.2597,32679745048.4427,35909040925.9375,37917706497.1793,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,64718641221.216
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.783017,151675738.926342,166521239.650243,172233430.657858,185693724.905233,198318064.028924,220613581.972601,237397428.13501,251247457.765525,265040036.417215,274960699.885255,322128018.955444,410669263.651798,541973362.610423,585364634.473977,767102680.239967,754549601.391492,765224029.286556,878771772.202149,1198749667.42923,1705796852.89473,1993512322.62391,2160640564.56041,2097274289.75066,2193581365.34299,2160872540.03175,1849268212.30284,2297753652.34929,2212536311.99319,2389593025.60339,2798746050.11354,2724853505.80336,2933222703.0334,2684323623.14372,1769365437.78801,2116003867.75536,2540697539.05773,2322719102.6909,1949481379.21951,2354772960.28296,3227927697.57921,2796704604.03812,3034250923.97726,3503723087.74483,4656974940.12721,6650001680.48544,8072305029.06514,8782703436.70188,11649857673.4436,9723299915.25312,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919224179.5609,12434829581.0287,10931247264.8116,11834406800.8818,14773806078.1348,13976661497.841,11468608530.2038,14825708810.7046,15816996654.5788
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,212218261.585643,196349931.540286,184009013.562815,191621954.855332,184697225.637076,196726096.329131,279197721.807577,337525852.647575,356500032.676316,341476768.326033,429622177.724885,424108769.502231,457388651.500941,452881475.071813,319189184.255639,398461797.009413,396053805.891754,364445600.525492,370106745.930146,382454989.945311,351136579.648632,378512024.077556,425964681.044378,546885222.713065,633706110.795614,653845169.168576,698431793.872776,795673153.183373,915659107.761613,905341173.9738,907978731.702123,1023086272.69622,1015843491.24635,1116224107.17116,1149587659.74502,966029599.801228,1012835492.51575,1077439756.12221,1188797449.96029,1195019531.03664,1225039195.93742,1296089479.45831,1242519407.27815
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,142246815.345007,139468209.116206,140630678.983478,138476175.620363,132019038.591628,137728204.813735,190651167.559385,235253064.70982,264308140.285149,267448571.414611,306890962.649533,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979269.843942,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563090490.377368,620507387.466174,813260468.873834,924940011.836897,972241676.907662,1107571457.90614,1649621738.63689,1959620648.31578,1852334575.17521,1824751467.92957,2046817987.20109,1913081210.41411,2028910915.16446,2041930125.42979,1749857620.35329,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,1997866378.77119,2226862134.08787
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,340989527.967995,,373371738.286415,395794538.630775,409220087.102818,452328087.282876,462421998.525779,478058304.871118,466048469.22986,491689220.744875,497723960.589913,494004647.73437,502675542.001227,514267869.300758,536080148.097299,551230861.856505,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,2042817162.85639,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3185150981.03207,3385825228.86997,3515108859.95465
